date,Country/Territory/Area,Total confirmed cases,Total deaths,Transmission classification,Days since last reported case,Total cases with travel history to China,Total cases with possible or confirmed transmission outside of China,Likely place of exposure: China,Likely place of exposure: Outside reporting country and outside China,Likely place of exposure: In reporting country,Total cases with site of transmission under investigation
2020/02/12,International conveyance (Diamond Princess),175,0,,,0,1,,,,174
2020/02/13,Singapore,50,0,,,22,28,,,,0
2020/02/13,Japan,29,0,,,24,5,,,,0
2020/02/13,Republic of Korea,28,0,,,13,12,,,,3
2020/02/13,Malaysia,18,0,,,15,3,,,,0
2020/02/13,Viet Nam,16,0,,,8,8,,,,0
2020/02/13,Australia,15,0,,,15,0,,,,0
2020/02/13,Philippines,3,1,,,3,0,,,,0
2020/02/13,Cambodia,1,0,,,1,0,,,,0
2020/02/13,Thailand,33,0,,,23,6,,,,4
2020/02/13,India,3,0,,,3,0,,,,0
2020/02/13,Nepal,1,0,,,1,0,,,,0
2020/02/13,Sri Lanka,1,0,,,1,0,,,,0
2020/02/13,United States of America,14,0,,,12,2,,,,0
2020/02/13,Canada,7,0,,,6,0,,,,1
2020/02/13,Germany,16,0,,,2,14,,,,0
2020/02/13,France,11,0,,,5,6,,,,0
2020/02/13,The United Kingdom,9,0,,,2,7,,,,0
2020/02/13,Italy,3,0,,,3,0,,,,0
2020/02/13,Russian Federation,2,0,,,2,0,,,,0
2020/02/13,Spain,2,0,,,0,2,,,,0
2020/02/13,Belgium,1,0,,,1,0,,,,0
2020/02/13,Finland,1,0,,,1,0,,,,0
2020/02/13,Sweden,1,0,,,1,0,,,,0
2020/02/13,United Arab Emirates,8,0,,,6,1,,,,1
2020/02/13,International conveyance (Diamond Princess),174,0,,,0,0,,,,174
2020/02/14,Singapore,58,0,,,22,36,,,,0
2020/02/14,Japan,33,1,,,24,9,,,,0
2020/02/14,Republic of Korea,28,0,,,13,12,,,,3
2020/02/14,Malaysia,19,0,,,15,4,,,,0
2020/02/14,Viet Nam,16,0,,,8,8,,,,0
2020/02/14,Australia,15,0,,,15,0,,,,0
2020/02/14,Philippines,3,1,,,3,0,,,,0
2020/02/14,Cambodia,1,0,,,1,0,,,,0
2020/02/14,Thailand,33,0,,,23,6,,,,4
2020/02/14,India,3,0,,,3,0,,,,0
2020/02/14,Nepal,1,0,,,1,0,,,,0
2020/02/14,Sri Lanka,1,0,,,1,0,,,,0
2020/02/14,United States of America,15,0,,,13,2,,,,0
2020/02/14,Canada,7,0,,,6,0,,,,1
2020/02/14,Germany,16,0,,,2,14,,,,0
2020/02/14,France,11,0,,,5,6,,,,0
2020/02/14,The United Kingdom,9,0,,,2,7,,,,0
